time,frequency,confidence
0.000,260.738,0.539403
0.010,260.833,0.655327
0.020,262.435,0.807067
0.030,262.662,0.894670
0.040,262.691,0.931209
0.050,262.873,0.947229
0.060,262.822,0.950485
0.070,262.568,0.953739
0.080,262.526,0.959353
0.090,262.117,0.959954
0.100,262.116,0.962012
0.110,261.876,0.957681
0.120,261.690,0.957471
0.130,261.635,0.957076
0.140,261.493,0.953050
0.150,261.651,0.952993
0.160,261.797,0.957319
0.170,261.891,0.957388
0.180,262.038,0.960813
0.190,262.176,0.961157
0.200,261.943,0.957699
0.210,262.120,0.959353
0.220,261.782,0.953216
0.230,261.938,0.956812
0.240,261.688,0.952850
0.250,261.617,0.951686
0.260,261.462,0.949152
0.270,261.210,0.941677
0.280,261.056,0.934957
0.290,260.816,0.935271
0.300,260.707,0.933113
0.310,260.526,0.937078
0.320,260.378,0.945644
0.330,260.333,0.944588
0.340,260.258,0.950025
0.350,260.413,0.941561
0.360,260.483,0.938341
0.370,260.750,0.935787
0.380,260.894,0.929773
0.390,261.365,0.947130
0.400,261.554,0.949060
0.410,262.018,0.959229
0.420,262.295,0.959325
0.430,262.498,0.961238
0.440,262.665,0.960784
0.450,262.693,0.959826
0.460,262.509,0.960611
0.470,262.458,0.962434
0.480,262.103,0.958732
0.490,261.967,0.959908
0.500,261.785,0.956465
0.510,261.523,0.953132
0.520,261.456,0.951394
0.530,261.163,0.943469
0.540,261.263,0.945068
0.550,261.083,0.942984
0.560,261.171,0.940211
0.570,261.143,0.941619
0.580,261.340,0.945277
0.590,261.384,0.940936
0.600,261.535,0.949749
0.610,261.553,0.940982
0.620,261.654,0.947888
0.630,261.846,0.949982
0.640,261.696,0.945270
0.650,261.959,0.946791
0.660,261.864,0.941883
0.670,261.931,0.943559
0.680,261.784,0.936984
0.690,261.587,0.918298
0.700,261.540,0.899716
0.710,261.364,0.877106
0.720,261.743,0.858109
0.730,261.727,0.761964
0.740,263.628,0.599615
0.750,269.002,0.377773
0.760,291.045,0.571510
0.770,291.964,0.829936
0.780,292.446,0.902244
0.790,293.073,0.918893
0.800,293.248,0.936733
0.810,293.425,0.941241
0.820,293.666,0.949159
0.830,293.716,0.951582
0.840,293.808,0.955671
0.850,293.994,0.961601
0.860,294.038,0.962654
0.870,294.032,0.963033
0.880,293.869,0.959526
0.890,293.669,0.957014
0.900,293.311,0.948748
0.910,293.265,0.949183
0.920,293.071,0.941891
0.930,292.953,0.937946
0.940,293.034,0.941091
0.950,293.154,0.945896
0.960,293.303,0.948372
0.970,293.602,0.956182
0.980,293.670,0.956979
0.990,293.898,0.961608
1.000,293.993,0.963326
1.010,294.222,0.965653
1.020,294.299,0.966487
1.030,294.362,0.966868
1.040,294.507,0.968426
